yearnest,year,nest id,nest number ,treatment ,nestlings ,fledglings ,died,fledged at least 1,intensity,hatch.date,10.day.date,cumulative rain,failure stage,ndvi,ndvi date,difference,ndvi.10day,ndvi.10.day.date,difference,,,
2013-118,2013,118,1,P,3,3,0,1,0,3/7/13,3/17/13,142.5,0,0.67726,3/6/13,1,0.706023333,3/22/13,-5,,,
2013-122,2013,122,1,P,1,1,0,1,0,3/4/13,3/14/13,127.6,0,0.67726,3/6/13,-2,0.67726,3/6/13,8,,,
2013-125,2013,125,1,W,3,0,3,0,66,2/28/13,3/10/13,124.1,2,0.67726,3/6/13,-6,0.67726,3/6/13,4,,,
2013-127,2013,127,1,W,3,3,0,1,96,3/25/13,4/4/13,191,0,0.706023333,3/22/13,3,0.745556667,4/7/13,-3,,,
2013-128,2013,128,1,W,5,4,1,1,96,3/28/13,4/7/13,191,0,0.706023333,3/22/13,6,0.745556667,4/7/13,0,,,
2013-129,2013,129,1,W,3,0,3,0,68,4/4/13,4/14/13,191,2,0.745556667,4/7/13,-3,0.745556667,4/7/13,7,,,
2013-19,2013,19,1,P,4,3,1,1,0,3/8/13,3/18/13,145,0,0.67726,3/6/13,2,0.706023333,3/22/13,-4,,,
2013-2,2013,2,1,P,1,0,1,0,0,3/20/13,3/30/13,160.5,1,0.706023333,3/22/13,-2,0.706023333,3/22/13,8,,,
2013-35,2013,35,1,P,3,2,1,1,0,3/15/13,3/25/13,159.4,0,0.706023333,3/22/13,-7,0.706023333,3/22/13,3,,,
2013-42,2013,42,1,P,1,0,1,0,0,2/21/13,3/3/13,123.8,3,0.71212,2/18/13,3,0.67726,3/6/13,-3,,,
2013-59,2013,59,1,W,4,1,3,1,145,2/23/13,3/5/13,124.1,0,0.71212,2/18/13,5,0.67726,3/6/13,-1,,,
2013-65,2013,65,1,P,4,4,0,1,0,3/8/13,3/18/13,145,0,0.67726,3/6/13,2,0.706023333,3/22/13,-4,,,
2013-66,2013,66,1,W,1,1,0,1,1,3/8/13,3/18/13,145,0,0.67726,3/6/13,2,0.706023333,3/22/13,-4,,,
2013-74,2013,74,1,W,4,4,0,1,138,3/8/13,3/18/13,145,0,0.67726,3/6/13,2,0.706023333,3/22/13,-4,,,
2013-75,2013,75,1,P,3,3,0,1,2,3/6/13,3/16/13,132.6,0,0.67726,3/6/13,0,0.706023333,3/22/13,-6,,,
2013-86,2013,86,1,W,4,2,2,1,37,3/8/13,3/18/13,145,0,0.67726,3/6/13,2,0.706023333,3/22/13,-4,,,
2013-87,2013,87,1,W,3,2,2,1,0,3/6/13,3/16/13,132.6,0,0.67726,3/6/13,0,0.706023333,3/22/13,-6,,,
2013-88,2013,88,1,W,2,2,0,1,5,3/3/13,3/13/13,127.6,0,0.67726,3/6/13,-3,0.67726,3/6/13,7,,,
2013-89,2013,89,1,W,2,2,0,1,90,3/2/13,3/12/13,126.7,0,0.67726,3/6/13,-4,0.67726,3/6/13,6,,,
2013-90,2013,90,1,W,4,4,1,1,28,3/5/13,3/15/13,127.6,0,0.67726,3/6/13,-1,0.706023333,3/22/13,-7,,,
2013-91,2013,91,1,W,3,3,0,1,0,3/15/13,3/25/13,159.4,0,0.706023333,3/22/13,-7,0.706023333,3/22/13,3,,,
2013-92,2013,92,1,P,2,1,1,1,0,2/12/13,2/22/13,105,0,0.71212,2/18/13,-6,0.71212,2/18/13,4,,,
2013-93,2013,93,1,W,2,0,2,0,76,2/28/13,3/10/13,124.1,3,0.67726,3/6/13,-6,0.67726,3/6/13,4,,,
2013-95,2013,95,1,P,4,0,4,0,0,3/1/13,3/11/13,124.1,2,0.67726,3/6/13,-5,0.67726,3/6/13,5,,,
2013-97,2013,97,1,P,3,0,3,0,4,3/3/13,3/13/13,127.6,1,0.67726,3/6/13,-3,0.67726,3/6/13,7,,,
2015-1,2015,1,2,W,1,0,1,0,56,4/13/15,4/23/15,148.8,2,0.689067857,4/7/15,6,0.605074359,4/23/15,0,,,
2015-100,2015,100,1,P,3,3,0,1,0,3/13/15,3/23/15,67.3,0,0.488053333,3/6/15,7,0.660015789,3/22/15,1,,,
2015-103,2015,103,1,P,3,0,3,0,2,3/13/15,3/23/15,67.3,2,0.488053333,3/6/15,7,0.660015789,3/22/15,1,,,
2015-103,2015,103,2,P,4,4,0,1,0,4/15/15,4/25/15,168.9,0,0.689067857,4/7/15,8,0.605074359,4/23/15,2,,,
2015-105,2015,105,2,P,4,3,1,1,0,4/26/15,5/6/15,204,0,0.605074359,4/23/15,3,0.605074359,5/9/15,-3,,,
2015-107,2015,107,2,W,3,0,3,0,41,4/20/15,4/30/15,178.2,1,0.605074359,4/23/15,-3,0.605074359,4/23/15,7,,,
2015-108,2015,108,1,W,4,0,4,0,43,3/13/15,3/23/15,67.3,2,0.488053333,3/6/15,7,0.660015789,3/22/15,1,,,
2015-108,2015,108,2,W,4,2,2,1,126,4/12/15,4/22/15,148.1,0,0.689067857,4/7/15,5,0.605074359,4/23/15,-1,,,
2015-109,2015,109,1,W,3,0,3,0,59,3/10/15,3/20/15,67.3,2,0.488053333,3/6/15,4,0.660015789,3/22/15,-2,,,
2015-109,2015,109,2,W,2,0,2,0,94,4/13/15,4/23/15,148.8,2,0.689067857,4/7/15,6,0.605074359,4/23/15,0,,,
2015-110,2015,110,2,W,3,0,3,0,7,4/9/15,4/19/15,148.1,1,0.689067857,4/7/15,2,0.605074359,4/23/15,-4,,,
2015-111,2015,111,1,P,2,1,1,1,0,3/10/15,3/20/15,67.3,0,0.488053333,3/6/15,4,0.660015789,3/22/15,-2,,,
2015-115,2015,115,1,W,3,0,3,0,90,3/10/15,3/20/15,67.3,2,0.488053333,3/6/15,4,0.660015789,3/22/15,-2,,,
2015-115,2015,115,2,W,2,0,2,0,59,4/10/15,4/20/15,148.1,2,0.689067857,4/7/15,3,0.605074359,4/23/15,-3,,,
2015-117,2015,117,2,P,5,3,2,1,0,4/16/15,4/26/15,168.9,0,0.605074359,4/23/15,-7,0.605074359,4/23/15,3,,,
2015-117,2015,117,1,P,2,0,2,0,0,3/16/15,3/26/15,69.8,1,0.660015789,3/22/15,-6,0.660015789,3/22/15,4,,,
2015-122,2015,122,1,W,3,0,3,0,23,3/10/15,3/20/15,67.3,2,0.488053333,3/6/15,4,0.660015789,3/22/15,-2,,,
2015-128,2015,128,2,W,4,0,4,0,41,4/18/15,4/28/15,171.4,2,0.605074359,4/23/15,-5,0.605074359,4/23/15,5,,,
2015-129,2015,129,1,W,2,0,2,0,47,3/10/15,3/20/15,67.3,3,0.488053333,3/6/15,4,0.660015789,3/22/15,-2,,,
2015-131,2015,131,1,W,3,1,2,1,157,3/4/15,3/14/15,67.3,0,0.488053333,3/6/15,-2,0.488053333,3/6/15,8,,,
2015-131,2015,131,2,W,3,2,1,1,53,4/12/15,4/22/15,148.1,0,0.689067857,4/7/15,5,0.605074359,4/23/15,-1,,,
2015-132,2015,132,1,W,4,1,3,1,69,3/17/15,3/27/15,69.8,0,0.660015789,3/22/15,-5,0.660015789,3/22/15,5,,,
2015-137,2015,137,1,P,4,2,2,1,0,3/10/15,3/20/15,67.3,0,0.488053333,3/6/15,4,0.660015789,3/22/15,-2,,,
2015-137,2015,137,2,P,3,3,0,1,2,4/21/15,5/1/15,179.4,0,0.605074359,4/23/15,-2,0.605074359,4/23/15,8,,,
2015-138,2015,138,2,P,5,5,0,1,0,4/27/15,5/7/15,204,0,0.605074359,4/23/15,4,0.605074359,5/9/15,-2,,,
2015-138,2015,138,1,P,3,2,1,1,4,3/21/15,3/31/15,102.8,0,0.660015789,3/22/15,-1,0.689067857,4/7/15,-7,,,
2015-140,2015,140,1,W,3,2,1,1,48,3/10/15,3/20/15,67.3,0,0.488053333,3/6/15,4,0.660015789,3/22/15,-2,,,
2015-2,2015,2,1,P,3,1,2,1,0,3/7/15,3/17/15,67.3,0,0.488053333,3/6/15,1,0.660015789,3/22/15,-5,,,
2015-2,2015,2,2,P,5,5,0,1,0,4/15/15,4/25/15,168.9,0,0.689067857,4/7/15,8,0.605074359,4/23/15,2,,,
2015-20,2015,20,1,W,3,3,0,1,31,3/8/15,3/18/15,67.3,0,0.488053333,3/6/15,2,0.660015789,3/22/15,-4,,,
2015-24,2015,24,1,P,3,2,1,1,0,3/13/15,3/23/15,67.3,0,0.488053333,3/6/15,7,0.660015789,3/22/15,1,,,
2015-24,2015,24,2,P,3,1,2,1,0,4/22/15,5/2/15,201.8,0,0.605074359,4/23/15,-1,0.605074359,5/9/15,-7,,,
2015-25,2015,25,1,P,4,3,1,1,0,3/12/15,3/22/15,67.3,0,0.488053333,3/6/15,6,0.660015789,3/22/15,0,,,
2015-35,2015,35,1,W,2,0,2,0,53,3/11/15,3/21/15,67.3,3,0.488053333,3/6/15,5,0.660015789,3/22/15,-1,,,
2015-35,2015,35,2,W,4,2,2,1,54,4/19/15,4/29/15,171.4,0,0.605074359,4/23/15,-4,0.605074359,4/23/15,6,,,
2015-40,2015,40,2,P,5,4,1,1,0,4/20/15,4/30/15,178.2,0,0.605074359,4/23/15,-3,0.605074359,4/23/15,7,,,
2015-42,2015,42,1,W,3,0,3,0,50,3/11/15,3/21/15,67.3,3,0.488053333,3/6/15,5,0.660015789,3/22/15,-1,,,
2015-51,2015,51,2,P,4,4,0,1,0,4/13/15,4/23/15,148.8,0,0.689067857,4/7/15,6,0.605074359,4/23/15,0,,,
2015-52,2015,52,1,P,3,2,1,1,4,3/10/15,3/20/15,67.3,0,0.488053333,3/6/15,4,0.660015789,3/22/15,-2,,,
2015-52,2015,52,2,P,4,4,0,1,0,4/21/15,5/1/15,179.4,0,0.605074359,4/23/15,-2,0.605074359,4/23/15,8,,,
2015-53,2015,53,1,W,2,0,2,0,25,3/13/15,3/23/15,67.3,3,0.488053333,3/6/15,7,0.660015789,3/22/15,1,,,
2015-53,2015,53,2,W,2,0,2,0,2,5/2/15,5/12/15,214.8,1,0.605074359,4/23/15,9,0.675584615,5/9/15,3,,,
2015-59,2015,59,1,P,2,2,0,1,0,3/4/15,3/14/15,67.3,0,0.488053333,3/6/15,-2,0.488053333,3/6/15,8,,,
2015-7,2015,7,1,W,2,1,1,1,92,3/21/15,3/31/15,102.8,0,0.660015789,3/22/15,-1,0.689067857,4/7/15,-7,,,
2015-74,2015,74,1,P,4,2,2,1,3,3/10/15,3/20/15,67.3,0,0.488053333,3/6/15,4,0.660015789,3/22/15,-2,,,
2015-74,2015,74,2,P,3,3,0,1,0,4/21/15,5/1/15,179.4,0,0.605074359,4/23/15,-2,0.605074359,4/23/15,8,,,
2015-75,2015,75,2,P,3,3,0,1,0,4/9/15,4/19/15,148.1,0,0.689067857,4/7/15,2,0.605074359,4/23/15,-4,,,
2015-76,2015,76,1,W,4,0,4,0,40,3/13/15,3/23/15,67.3,2,0.488053333,3/6/15,7,0.660015789,3/22/15,1,,,
2015-77,2015,77,1,P,3,1,2,1,0,3/6/15,3/16/15,67.3,0,0.488053333,3/6/15,0,0.660015789,3/22/15,-6,,,
2015-85,2015,85,1,W,4,2,2,1,8,3/8/15,3/18/15,67.3,0,0.488053333,3/6/15,2,0.660015789,3/22/15,-4,,,
2015-86,2015,86,2,P,4,4,0,1,0,4/12/15,4/22/15,148.1,0,0.689067857,4/7/15,5,0.605074359,4/23/15,-1,,,
2015-88,2015,88,1,P,3,2,1,1,0,3/17/15,3/27/15,69.8,0,0.660015789,3/22/15,-5,0.660015789,3/22/15,5,,,
2015-89,2015,89,1,P,4,3,1,1,3,3/4/15,3/14/15,67.3,0,0.488053333,3/6/15,-2,0.488053333,3/6/15,8,,,
2015-90,2015,90,1,P,1,1,0,1,0,3/11/15,3/21/15,67.3,0,0.488053333,3/6/15,5,0.660015789,3/22/15,-1,,,
2015-91,2015,91,1,P,3,1,2,1,4,3/10/15,3/20/15,67.3,0,0.488053333,3/6/15,4,0.660015789,3/22/15,-2,,,
2015-91,2015,91,2,P,5,5,0,1,2,4/25/15,5/5/15,204,0,0.605074359,4/23/15,2,0.605074359,5/9/15,-4,,,
2015-93,2015,93,1,W,3,0,3,0,39,3/15/15,3/25/15,67.3,1,0.660015789,3/22/15,-7,0.660015789,3/22/15,3,,,
2015-95,2015,95,1,P,1,1,0,1,1,3/11/15,3/21/15,67.3,0,0.488053333,3/6/15,5,0.660015789,3/22/15,-1,,,
2015-95,2015,95,2,P,4,4,0,1,0,4/22/15,5/2/15,201.8,0,0.605074359,4/23/15,-1,0.605074359,5/9/15,-7,,,
2015-98,2015,98,1,W,4,0,4,0,100,3/5/15,3/15/15,67.3,3,0.488053333,3/6/15,-1,0.660015789,3/22/15,-7,,,
2015-98,2015,98,2,W,3,0,3,0,42,4/20/15,4/30/15,178.2,2,0.605074359,4/23/15,-3,0.605074359,4/23/15,7,,,
2016-1,2016,1,1,W,3,0,3,0,0,2/14/16,2/24/16,90.6,1,0.541235714,2/18/16,-4,0.541235714,2/18/16,6,,,
2016-100,2016,100,1,P,2,2,0,1,0,1/31/16,2/10/16,81.9,0,0.669416667,2/2/16,-2,0.669416667,2/2/16,8,,,
2016-103,2016,103,1,P,3,3,0,1,0,1/26/16,2/5/16,81.9,0,0.669416667,2/2/16,-7,0.669416667,2/2/16,3,,,
2016-105,2016,105,1,W,4,0,4,0,,1/22/16,2/1/16,72.8,1,0.668114815,1/17/16,5,0.669416667,2/2/16,-1,,,
2016-107,2016,107,1,P,3,3,0,1,0,1/26/16,2/5/16,81.9,0,0.669416667,2/2/16,-7,0.669416667,2/2/16,3,,,
2016-108,2016,108,1,P,4,0,4,0,9,1/20/16,1/30/16,72.8,2,0.668114815,1/17/16,3,0.669416667,2/2/16,-3,,,
2016-110,2016,110,1,P,3,3,0,1,0,1/20/16,1/30/16,72.8,0,0.668114815,1/17/16,3,0.669416667,2/2/16,-3,,,
2016-111,2016,111,1,W,3,1,2,1,107,1/20/16,1/30/16,72.8,0,0.668114815,1/17/16,3,0.669416667,2/2/16,-3,,,
2016-117,2016,117,1,W,3,0,3,0,20,1/31/16,2/10/16,81.9,1,0.669416667,2/2/16,-2,0.669416667,2/2/16,8,,,
2016-122,2016,122,1,W,3,1,2,1,60,1/26/16,2/5/16,81.9,0,0.669416667,2/2/16,-7,0.669416667,2/2/16,3,,,
2016-124,2016,124,1,P,4,3,1,1,0,1/24/16,2/3/16,72.8,0,0.668114815,1/17/16,7,0.669416667,2/2/16,1,,,
2016-126,2016,126,1,W,3,0,3,0,0,1/18/16,1/28/16,72.8,1,0.668114815,1/17/16,1,0.669416667,2/2/16,-5,,,
2016-128,2016,128,1,W,2,0,2,0,138,1/24/16,2/3/16,72.8,3,0.668114815,1/17/16,7,0.669416667,2/2/16,1,,,
2016-137,2016,137,1,W,3,0,3,0,28,1/28/16,2/7/16,81.9,2,0.669416667,2/2/16,-5,0.669416667,2/2/16,5,,,
2016-140,2016,140,1,P,2,2,0,1,0,1/22/16,2/1/16,72.8,0,0.668114815,1/17/16,5,0.669416667,2/2/16,-1,,,
2016-20,2016,20,1,P,3,0,3,0,0,1/31/16,2/10/16,81.9,2,0.669416667,2/2/16,-2,0.669416667,2/2/16,8,,,
2016-24,2016,24,1,W,2,2,0,1,14,2/18/16,2/28/16,90.6,0,0.541235714,2/18/16,0,0.544098333,3/5/16,-6,,,
2016-25,2016,25,1,P,3,3,0,1,0,1/26/16,2/5/16,81.9,0,0.669416667,2/2/16,-7,0.669416667,2/2/16,3,,,
2016-40,2016,40,1,W,2,0,2,0,48,1/26/16,2/5/16,81.9,3,0.669416667,2/2/16,-7,0.669416667,2/2/16,3,,,
2016-51,2016,51,1,P,3,3,0,1,0,1/29/16,2/8/16,81.9,0,0.669416667,2/2/16,-4,0.669416667,2/2/16,6,,,
2016-52,2016,52,1,P,4,0,4,0,0,2/3/16,2/13/16,81.9,2,0.669416667,2/2/16,1,0.541235714,2/18/16,-5,,,
2016-59,2016,59,1,P,3,2,1,1,0,2/9/16,2/19/16,90.5,0,0.669416667,2/2/16,7,0.541235714,2/18/16,1,,,
2016-74,2016,74,1,W,3,0,3,0,27,1/24/16,2/3/16,72.8,2,0.668114815,1/17/16,7,0.669416667,2/2/16,1,,,
2016-74.2,2016,74.2,2,W,1,0,1,0,32,2/22/16,3/3/16,90.6,2,0.541235714,2/18/16,4,0.544098333,3/5/16,-2,,,
2016-75,2016,75,1,W,3,1,2,1,115,1/31/16,2/10/16,81.9,0,0.669416667,2/2/16,-2,0.669416667,2/2/16,8,,,
2016-76,2016,76,1,W,2,0,2,0,30,1/22/16,2/1/16,72.8,3,0.668114815,1/17/16,5,0.669416667,2/2/16,-1,,,
2016-86,2016,86,1,W,3,2,1,1,123,1/20/16,1/30/16,72.8,0,0.668114815,1/17/16,3,0.669416667,2/2/16,-3,,,
2016-89,2016,89,1,P,4,2,2,1,0,1/23/16,2/2/16,72.8,0,0.668114815,1/17/16,6,0.669416667,2/2/16,0,,,
2016-91,2016,91,1,W,3,0,3,0,22,2/5/16,2/15/16,81.9,2,0.669416667,2/2/16,3,0.541235714,2/18/16,-3,,,
2016-92,2016,92,1,P,3,3,0,1,0,1/18/16,1/28/16,72.8,0,0.668114815,1/17/16,1,0.669416667,2/2/16,-5,,,
2016-98,2016,98,1,W,3,0,3,0,33,3/29/16,4/8/16,115.3,3,0.454441667,3/21/16,8,0.437393333,4/6/16,2,,,
